Name,Ownership Type,Phone Number,Address,City,County,Zip,Coordinates,State,Image,Regular hours,Saturday Openint TImes,Sunday Opening Times,24-Hour Service,Starbucks Reserve-Clover Brewed,Oven-Warmed Food,Free Wi-Fi,Verismo System,Mobile Payment,Digital Rewards,La Boulange,Fizzio Handcrafted Sodas,Drive-Thru,Link
Marina Pacifica,Company Owned,(562) 431-2022,"6324 East Pacific Coast Hwy., 908034841  Los Angeles County, California",Long Beach - Los Angeles County,Los Angeles County,908034841,"33.761342,-118.114308",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=33.761342,-118.114308&fov=90&heading=235&pitch=10",5:30 AM to 10:00 PM,5:30 AM to 11:00 PM,5:30 AM to 10:00 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/15997/us
Marriott Los Angeles Int'l Airport,Licensed,310-641-5700,"5855 W. Century Blvd, 900455614  Los Angeles County, California",Los Angeles - Los Angeles County,Los Angeles County,900455614,"33.946481,-118.384511",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=33.946481,-118.384511&fov=90&heading=235&pitch=10",5:00 AM to 6:00 PM,5:00 AM to 6:00 PM,5:00 AM to 6:00 PM,No,No,No,Yes,No,No,No,Yes,No,No,http://www.starbucks.com/store/12628/us
Marriott Torrance,Licensed,310-792-6154,"3635 Fashion Way, 905034897  Los Angeles County, California",Torrance - Los Angeles County,Los Angeles County,905034897,"33.835783,-118.349965",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=33.835783,-118.349965&fov=90&heading=235&pitch=10",6:00 AM to 4:00 PM,6:00 AM to 4:00 PM,6:00 AM to 4:00 PM,No,No,Yes,Yes,No,No,No,Yes,No,No,http://www.starbucks.com/store/17747/us
Marriott Warner Center Lobby,Licensed,,"21850 Oxnard St, 913673631  Los Angeles County, California",Los Angeles - Los Angeles County,Los Angeles County,913673631,"34.178498,-118.603603",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.178498,-118.603603&fov=90&heading=235&pitch=10",5:00 AM to 9:00 PM,5:00 AM to 9:00 PM,5:00 AM to 9:00 PM,No,No,No,Yes,No,No,No,Yes,No,No,http://www.starbucks.com/store/14240/us
McBean & Decoro - Valencia,Company Owned,(661) 296-1144,"27748 West McBean Parkway, 913541430  Los Angeles County, California",Stevenson Ranch - Los Angeles County,Los Angeles County,913541430,"34.445477,-118.553231",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.445477,-118.553231&fov=90&heading=235&pitch=10",5:00 AM to 10:00 PM,5:00 AM to 11:00 PM,5:00 AM to 10:00 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/13323/us
Melrose,Company Owned,323-852-9690,"7624 Melrose Avenue, 900467420  Los Angeles County, California",Los Angeles - Los Angeles County,Los Angeles County,900467420,"34.083427,-118.356145",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.083427,-118.356145&fov=90&heading=235&pitch=10",5:00 AM to 10:00 PM,5:00 AM to 10:00 PM,6:00 AM to 9:00 PM,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/11488/us
MLK & Bullis,Company Owned,310-764-1321,"3801 MARTIN LUTHER KING JR BLVD, 90262  Los Angeles County, California",Lynwood - Los Angeles County,Los Angeles County,90262,"33.924053,-118.197702",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=33.924053,-118.197702&fov=90&heading=235&pitch=10",5:30 AM to 11:00 PM,5:30 AM to 11:30 PM,6:00 AM to 11:30 PM,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,http://www.starbucks.com/store/89066/us
Monrovia,Company Owned,626-357-5057,"621 W. Huntington Drive, 910163205  Los Angeles County, California",Monrovia - Los Angeles County,Los Angeles County,910163205,"34.140448,-118.012973",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.140448,-118.012973&fov=90&heading=235&pitch=10",5:00 AM to 9:30 PM,5:00 AM to 10:00 PM,5:00 AM to 9:30 PM,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/8826/us
Montebello Town Center Mall,Company Owned,(323) 721-1020,"1780 Montebello Town Center, 906402163  Los Angeles County, California",Montebello - Los Angeles County,Los Angeles County,906402163,"34.036354,-118.083971",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.036354,-118.083971&fov=90&heading=235&pitch=10",7:00 AM to 10:00 PM,8:00 AM to 10:00 PM,9:00 AM to 8:00 PM,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/11596/us
Mulholland & Calabasas,Company Owned,818-591-1380,"23335 Mulholland Drive, 91364  Los Angeles County, California",Los Angeles - Los Angeles County,Los Angeles County,91364,"34.1578636169434,-118.634773254395",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.1578636169434,-118.634773254395&fov=90&heading=235&pitch=10",5:00 AM to 9:00 PM,5:00 AM to 9:00 PM,5:30 AM to 9:00 PM,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/115369/us
"N. Grand Ave & Badillo St, Covina.",Company Owned,626-858-9744,"966 E. Badillo Street, 917242950  Los Angeles County, California",Covina - Los Angeles County,Los Angeles County,917242950,"34.085445,-117.870901",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.085445,-117.870901&fov=90&heading=235&pitch=10",5:00 AM to 9:00 PM,5:30 AM to 9:00 PM,5:30 AM to 9:00 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/12758/us
National & Barrington,Company Owned,(310) 914-4585,"11705 National Blvd., 900643644  Los Angeles County, California",Los Angeles - Los Angeles County,Los Angeles County,900643644,"34.022668,-118.439009",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.022668,-118.439009&fov=90&heading=235&pitch=10",5:00 AM to 9:00 PM,5:30 AM to 9:00 PM,5:30 AM to 9:00 PM,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/14843/us
"National & Castle Heights, Los Ange",Company Owned,310-839-1483,"9824 National Blvd, 900342713  Los Angeles County, California",Los Angeles - Los Angeles County,Los Angeles County,900342713,"34.03105,-118.400976",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.03105,-118.400976&fov=90&heading=235&pitch=10",5:00 AM to 9:00 PM,5:30 AM to 9:00 PM,5:30 AM to 9:00 PM,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/9247/us
NEC Grand & 1st (Grand Park),Company Owned,(213) 625-2205,"217 N. Hill Street, 900122705  Los Angeles County, California",Los Angeles - Los Angeles County,Los Angeles County,900122705,"34.055609,-118.245436",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.055609,-118.245436&fov=90&heading=235&pitch=10",5:00 AM to 9:00 PM,6:30 AM to 8:00 PM,6:30 AM to 8:00 PM,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/69543/us
Nordhoff & Woodley,Company Owned,818-895-4877,"16222 Nordhoff Street, 913433806  Los Angeles County, California",Los Angeles - Los Angeles County,Los Angeles County,913433806,"34.235319,-118.485898",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.235319,-118.485898&fov=90&heading=235&pitch=10",6:00 AM to 10:00 PM,6:00 AM to 10:00 PM,6:00 AM to 10:00 PM,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/11447/us
Northridge,Company Owned,(818) 709-6934,"10235 Reseda Blvd, 913241460  Los Angeles County, California",Los Angeles - Los Angeles County,Los Angeles County,913241460,"34.256423,-118.536089",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.256423,-118.536089&fov=90&heading=235&pitch=10",4:45 AM to 10:00 PM,5:30 AM to 10:00 PM,5:30 AM to 10:00 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/16552/us
Northridge Fashion Center,Company Owned,818-773-4628,"9301 Tampa Avenue, 913242503  Los Angeles County, California",Los Angeles - Los Angeles County,Los Angeles County,913242503,"34.2387351989746,-118.556053161621",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.2387351989746,-118.556053161621&fov=90&heading=235&pitch=10",7:00 AM to 9:30 PM,7:00 AM to 10:00 PM,7:00 AM to 8:30 PM,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/90552/us
Oak Street & Pass Avenue,Company Owned,818-841-8534,"347 N Pass Ave, 915053859  Los Angeles County, California",Burbank - Los Angeles County,Los Angeles County,915053859,"34.155709,-118.346967",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.155709,-118.346967&fov=90&heading=235&pitch=10",4:30 AM to 10:00 PM,5:30 AM to 9:00 PM,5:30 AM to 9:00 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/15923/us
Ocean Park - Santa Monica,Company Owned,(310) 396-9995,"2901 Ocean Park Blvd., 904052919  Los Angeles County, California",Santa Monica - Los Angeles County,Los Angeles County,904052919,"34.019695,-118.454751",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.019695,-118.454751&fov=90&heading=235&pitch=10",5:00 AM to 8:00 PM,5:30 AM to 8:00 PM,5:30 AM to 8:00 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/11625/us
Olympic & Figueroa- LA Live,Company Owned,213-748-1009,"800 W. Olympic Blvd., 900151360  Los Angeles County, California",Los Angeles - Los Angeles County,Los Angeles County,900151360,"34.045022,-118.263944",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.045022,-118.263944&fov=90&heading=235&pitch=10",5:00 AM to 1:00 AM,5:00 AM to 1:30 AM,5:00 AM to 1:00 AM,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/18659/us
Olympic & Main,Company Owned,310-458-2802,"1705 Ocean Ave., 90401  Los Angeles County, California",Santa Monica - Los Angeles County,Los Angeles County,90401,"34.0106582641602,-118.491561889648",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.0106582641602,-118.491561889648&fov=90&heading=235&pitch=10",5:00 AM to 10:00 PM,5:30 AM to 11:00 PM,5:30 AM to 10:00 PM,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/1007343/us
"Olympic & Soto, Los Angeles",Company Owned,323-265-3457,"2675 E Olympic Blvd, 90023  Los Angeles County, California",Los Angeles - Los Angeles County,Los Angeles County,90023,"34.0246086120605,-118.220031738281",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.0246086120605,-118.220031738281&fov=90&heading=235&pitch=10",4:30 AM to 11:00 PM,5:00 AM to 11:00 PM,5:00 AM to 11:00 PM,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,http://www.starbucks.com/store/1007345/us
Olympic & Westwood - Los Angeles,Company Owned,310-441-9002,"2215 Westwood Blvd., 900642098  Los Angeles County, California",Los Angeles - Los Angeles County,Los Angeles County,900642098,"34.04316,-118.431672",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.04316,-118.431672&fov=90&heading=235&pitch=10",5:00 AM to 11:00 PM,5:00 AM to 11:00 PM,5:00 AM to 11:00 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/12148/us
Olympic/Doheny,Company Owned,(310) 275-0253,"9049 Olympic Blvd., 902113541  Los Angeles County, California",Beverly Hills - Los Angeles County,Los Angeles County,902113541,"34.059476,-118.389593",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.059476,-118.389593&fov=90&heading=235&pitch=10",5:00 AM to 9:30 PM,6:00 AM to 9:30 PM,6:00 AM to 9:00 PM,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/12165/us
One Westside Place - L.A.,Company Owned,(310) 478-0045,"11280 Olympic Blvd., 900641719  Los Angeles County, California",Los Angeles - Los Angeles County,Los Angeles County,900641719,"34.038106,-118.440928",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.038106,-118.440928&fov=90&heading=235&pitch=10",5:00 AM to 11:30 PM,6:00 AM to 10:00 PM,6:00 AM to 10:00 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/13331/us
Pacific & Belgrave,Company Owned,323-584-0492,"6021 Pacific Blvd., 902552953  Los Angeles County, California",Huntington Park - Los Angeles County,Los Angeles County,902552953,"33.98677,-118.22591",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=33.98677,-118.22591&fov=90&heading=235&pitch=10",5:00 AM to 11:30 PM,5:00 AM to 11:30 PM,6:00 AM to 11:30 PM,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,http://www.starbucks.com/store/14113/us
"Pacific & Burchett, Glendale",Company Owned,818-291-1890,"469 Burchett Street, 912031357  Los Angeles County, California",Glendale - Los Angeles County,Los Angeles County,912031357,"34.157437,-118.263244",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.157437,-118.263244&fov=90&heading=235&pitch=10",5:00 AM to 10:00 PM,5:30 AM to 10:00 PM,5:30 AM to 10:00 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/11109/us
"Pacific & Stocker, Glendale",Company Owned,818-956-7540,"1200 North Pacific Avenue, 912021602  Los Angeles County, California",Glendale - Los Angeles County,Los Angeles County,912021602,"34.163372,-118.264786",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.163372,-118.264786&fov=90&heading=235&pitch=10",5:00 AM to 10:30 PM,5:30 AM to 10:30 PM,6:00 AM to 10:00 PM,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/7007/us
Pacific Coast Hwy & Diamond St.,Company Owned,310-798-1567,"300 N. Pacific Coast Highway, 902772837  Los Angeles County, California",Redondo Beach - Los Angeles County,Los Angeles County,902772837,"33.845363,-118.387054",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=33.845363,-118.387054&fov=90&heading=235&pitch=10",4:30 AM to 9:00 PM,5:00 AM to 8:30 PM,5:00 AM to 8:30 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/8666/us
Pacific Coast Hwy. & Hawthorne - To,Company Owned,(310) 791-9966,"3737 Pacific Coast Highway, 905055953  Los Angeles County, California",Torrance - Los Angeles County,Los Angeles County,905055953,"33.805165,-118.350737",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=33.805165,-118.350737&fov=90&heading=235&pitch=10",5:00 AM to 9:30 PM,6:00 AM to 9:30 PM,6:00 AM to 9:30 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/11613/us
Pacific Palisades,Company Owned,(310) 573-0177,"15300 Sunset Boulevard, 902723613  Los Angeles County, California",Los Angeles - Los Angeles County,Los Angeles County,902723613,"34.047223,-118.526011",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.047223,-118.526011&fov=90&heading=235&pitch=10",4:30 AM to 10:00 PM,4:30 AM to 10:00 PM,4:30 AM to 10:00 PM,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/15800/us
Pacific Plaza (PCH/Calle Mayor),Company Owned,(310) 373-6537,"5005 Pacific Coast Highway, 905055441  Los Angeles County, California",Torrance - Los Angeles County,Los Angeles County,905055441,"33.812758,-118.367619",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=33.812758,-118.367619&fov=90&heading=235&pitch=10",5:00 AM to 8:00 PM,5:00 AM to 8:00 PM,6:00 AM to 8:00 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/14853/us
"Palmdale & 3rd, Palmdale",Company Owned,661-947-5844,"280 East Palmdale Blvd., 935504515  Los Angeles County, California",Palmdale - Los Angeles County,Los Angeles County,935504515,"34.579537,-118.125038",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.579537,-118.125038&fov=90&heading=235&pitch=10",5:00 AM to 9:30 PM,5:00 AM to 10:30 PM,5:00 AM to 9:30 PM,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,http://www.starbucks.com/store/8233/us
Palos Verdes,Company Owned,(310) 544-3942,"46 A Peninsula Center, 902743558  Los Angeles County, California",Rolling Hills - Los Angeles County,Los Angeles County,902743558,"33.775292,-118.375402",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=33.775292,-118.375402&fov=90&heading=235&pitch=10",5:00 AM to 9:00 PM,5:30 AM to 9:00 PM,6:00 AM to 8:00 PM,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/8739/us
"Palos Verdes & Western, Harbor City",Company Owned,310-534-1961,"26650 Western Ave, 907103655  Los Angeles County, California",Los Angeles - Los Angeles County,Los Angeles County,907103655,"33.780001,-118.309538",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=33.780001,-118.309538&fov=90&heading=235&pitch=10",5:00 AM to 8:30 PM,5:30 AM to 9:00 PM,5:30 AM to 8:00 PM,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/15453/us
Palos Verdes Dr. West & Hawthorne,Company Owned,310-265-7230,"31202 HAWTHORNE BLVD, 902755354  Los Angeles County, California",Rancho Palos Verdes - Los Angeles County,Los Angeles County,902755354,"33.748818,-118.407142",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=33.748818,-118.407142&fov=90&heading=235&pitch=10",5:00 AM to 9:30 PM,5:00 AM to 9:30 PM,5:00 AM to 9:30 PM,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/12932/us
"Paramount & Jackson, Paramount",Company Owned,562-272-8038,"16280-C Paramount Blvd., 907235466  Los Angeles County, California",Paramount - Los Angeles County,Los Angeles County,907235466,"33.886568089325,-118.16159274327",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=33.886568089325,-118.16159274327&fov=90&heading=235&pitch=10",5:30 AM to 10:30 PM,5:30 AM to 11:00 PM,6:00 AM to 10:00 PM,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/18483/us
Pasadena,Company Owned,626-795-0918,"575 South Lake Avenue, 911013511  Los Angeles County, California",Pasadena - Los Angeles County,Los Angeles County,911013511,"34.136012,-118.132483",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.136012,-118.132483&fov=90&heading=235&pitch=10",5:00 AM to 11:00 PM,5:00 AM to 11:00 PM,5:00 AM to 11:00 PM,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/16307/us
Pasadena Convention Ctr-Green Stree,Licensed,626-793-2122,"300 E Green St, 911012308  Los Angeles County, California",Pasadena - Los Angeles County,Los Angeles County,911012308,"34.1445083618164,-118.144180297852",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.1445083618164,-118.144180297852&fov=90&heading=235&pitch=10",7:00 AM to 4:00 PM,Closed,Closed,No,No,No,No,No,No,No,Yes,No,No,http://www.starbucks.com/store/91131/us
Pasadena Lake - Wells Fargo,Company Owned,626-405-1592,"82 South Lake Avenue, 911012656  Los Angeles County, California",Pasadena - Los Angeles County,Los Angeles County,911012656,"34.144349,-118.132051",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.144349,-118.132051&fov=90&heading=235&pitch=10",4:30 AM to 8:00 PM,5:30 AM to 7:00 PM,5:30 AM to 7:00 PM,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,http://www.starbucks.com/store/16267/us
Pavilions-Lakewood #2209,Licensed,562-866-3781,"5500 Woodruff Ave, 907131535  Los Angeles County, California",Lakewood - Los Angeles County,Los Angeles County,907131535,"33.85656,-118.11683",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=33.85656,-118.11683&fov=90&heading=235&pitch=10",6:00 AM to 6:30 PM,6:00 AM to 6:30 PM,6:00 AM to 6:30 PM,No,No,No,No,No,Yes,No,Yes,Yes,No,http://www.starbucks.com/store/9815/us
Pavilions-Long Beach #2203,Licensed,,"5949 E Spring St, 908083752  Los Angeles County, California",Long Beach - Los Angeles County,Los Angeles County,908083752,"33.810738,-118.115715",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=33.810738,-118.115715&fov=90&heading=235&pitch=10",6:00 AM to 6:30 PM,6:00 AM to 6:30 PM,6:00 AM to 6:30 PM,No,No,No,No,No,Yes,No,Yes,Yes,No,http://www.starbucks.com/store/12823/us
Pavilions-West Hills #2225,Licensed,818-999-5939,"6534 Platt Ave, 913073218  Los Angeles County, California",Los Angeles - Los Angeles County,Los Angeles County,913073218,"34.189144,-118.64134",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.189144,-118.64134&fov=90&heading=235&pitch=10",7:00 AM to 7:00 PM,7:00 AM to 7:00 PM,7:00 AM to 7:00 PM,No,No,No,No,No,Yes,No,Yes,Yes,No,http://www.starbucks.com/store/14736/us
PCH & Trancas Canyon Rd. - Malibu,Company Owned,(310) 589-4908,"30765 Pacific Coast Highway, 902653646  Los Angeles County, California",Malibu - Los Angeles County,Los Angeles County,902653646,"34.031168,-118.843072",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.031168,-118.843072&fov=90&heading=235&pitch=10",5:30 AM to 9:00 PM,5:30 AM to 9:30 PM,5:30 AM to 9:30 PM,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/14700/us
Pico & Robertson - Los Angeles,Company Owned,310-860-9364,"8783 West Pico Blvd, 900352212  Los Angeles County, California",Los Angeles - Los Angeles County,Los Angeles County,900352212,"34.054929,-118.38354",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.054929,-118.38354&fov=90&heading=235&pitch=10",4:30 AM to 11:00 PM,5:00 AM to 11:00 PM,5:00 AM to 11:00 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/16379/us
Pico & San Vicente,Company Owned,323-936-5032,"4700 West Pico Blvd, 900194267  Los Angeles County, California",Los Angeles - Los Angeles County,Los Angeles County,900194267,"34.048562,-118.338679",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.048562,-118.338679&fov=90&heading=235&pitch=10",5:30 AM to 10:00 PM,5:30 AM to 10:00 PM,6:00 AM to 9:30 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/17873/us
Pine Avenue,Company Owned,562-436-6883,"242 Pine Avenue, 908023042  Los Angeles County, California",Long Beach - Los Angeles County,Los Angeles County,908023042,"33.770159,-118.192195",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=33.770159,-118.192195&fov=90&heading=235&pitch=10",5:00 AM to 9:30 PM,5:30 AM to 10:00 PM,6:00 AM to 10:00 PM,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/16554/us
"Pioneer & Artesia, Artesia",Company Owned,562-860-5444,"11809 Artesia Blvd., 907014501  Los Angeles County, California",Artesia - Los Angeles County,Los Angeles County,907014501,"33.874593,-118.08199",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=33.874593,-118.08199&fov=90&heading=235&pitch=10",5:00 AM to 10:00 PM,5:30 AM to 10:30 PM,5:30 AM to 10:00 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/13937/us
"Puente & Francisquito, Baldwin Park",Company Owned,626-338-5018,"1620 Puente Avenue, 917065994  Los Angeles County, California",Baldwin Park - Los Angeles County,Los Angeles County,917065994,"34.064673,-117.96761",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.064673,-117.96761&fov=90&heading=235&pitch=10",5:00 AM to 11:00 PM,5:30 AM to 11:00 PM,6:00 AM to 11:00 PM,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,http://www.starbucks.com/store/9690/us
"Puente & The 10 Fwy, Baldwin Park",Company Owned,626-337-9935,"14540 Baldwin Park Towne Ctr Dr, 917065500  Los Angeles County, California",Baldwin Park - Los Angeles County,Los Angeles County,917065500,"34.071223,-117.958942",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.071223,-117.958942&fov=90&heading=235&pitch=10",4:30 AM to 11:00 PM,5:00 AM to 11:30 PM,5:30 AM to 10:30 PM,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,http://www.starbucks.com/store/15459/us
Puente Hills,Company Owned,(626) 912-4778,"17416 ""A"" Colima Road, 917481613  Los Angeles County, California",Rowland Heights - Los Angeles County,Los Angeles County,917481613,"33.990397,-117.926569",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=33.990397,-117.926569&fov=90&heading=235&pitch=10",5:00 AM to 11:00 PM,5:00 AM to 11:00 PM,6:00 AM to 11:00 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/16530/us
Ralph's - Long Beach #178,Licensed,562-795-0167,"6290 E Pacific Coast Hwy, 90803  Los Angeles County, California",Long Beach - Los Angeles County,Los Angeles County,90803,"33.7619934082031,-118.114715576172",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=33.7619934082031,-118.114715576172&fov=90&heading=235&pitch=10",,,,No,No,No,No,No,No,No,Yes,No,No,http://www.starbucks.com/store/1006809/us
Ralph's - Los Angeles #198,Licensed,310-271-2672,"9616 W. Pico Blvd, 90035  Los Angeles County, California",Los Angeles - Los Angeles County,Los Angeles County,90035,"34.055118560791,-118.398178100586",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.055118560791,-118.398178100586&fov=90&heading=235&pitch=10",,,,No,No,No,No,No,No,No,Yes,No,No,http://www.starbucks.com/store/1007389/us
Ralph's - Los Angeles #44,Licensed,310-477-8746,"12057 Wilshire Blvd, 90025  Los Angeles County, California",Los Angeles - Los Angeles County,Los Angeles County,90025,"34.0447731018066,-118.466659545898",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.0447731018066,-118.466659545898&fov=90&heading=235&pitch=10",,,,No,No,No,No,No,No,No,Yes,No,No,http://www.starbucks.com/store/1006878/us
Ralph's - Marina Del Rey #280,Licensed,310-574-0909,"4311 Lincoln Blvd, 92092  Los Angeles County, California",Marina Del Rey - Los Angeles County,Los Angeles County,92092,"33.9846153259277,-118.442771911621",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=33.9846153259277,-118.442771911621&fov=90&heading=235&pitch=10",,,,No,No,No,No,No,No,No,Yes,No,No,http://www.starbucks.com/store/1006570/us
"Ralph's-Manhattan Beach, CA #166",Licensed,310-564-2471,"2700 N Sepulveda Blvd, 902662726  Los Angeles County, California",Manhattan Beach - Los Angeles County,Los Angeles County,902662726,"33.895871,-118.395931",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=33.895871,-118.395931&fov=90&heading=235&pitch=10",6:00 AM to 9:00 PM,6:00 AM to 9:00 PM,6:00 AM to 9:00 PM,No,No,No,No,No,No,No,Yes,No,No,http://www.starbucks.com/store/19393/us
